[DEBUG] 2021-09-25 13:23:13.586 [http-nio-8080-exec-1] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:08:41.889 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:08:42.085 [http-nio-8080-exec-9] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:11:04.581 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:11:04.744 [http-nio-8080-exec-9] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.283 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.293 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.297 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.300 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.304 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.307 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.310 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.313 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.316 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.319 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.322 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
[DEBUG] 2021-09-26 09:13:11.325 [http-nio-8080-exec-6] TripDao - The list of trips [Trip {name='Winter Break', id=1}, Trip {name='Fall Tour', id=2}]
