[DEBUG] 2021-10-03 15:58:10.164 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-10-03 15:58:10.171 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-10-03 15:58:10.175 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-10-03 15:58:10.291 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-10-03 15:58:10.293 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-10-03 15:58:10.458 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-10-03 15:58:10.459 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-10-03 15:58:10.462 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-10-03 15:58:10.667 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-10-03 15:58:10.690 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-10-03 15:58:10.691 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-10-03 15:58:10.713 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-10-03 15:58:10.755 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@de77232
[DEBUG] 2021-10-03 15:58:10.755 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@de77232
[DEBUG] 2021-10-03 15:58:10.755 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@de77232
[DEBUG] 2021-10-03 15:58:10.756 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4ab550d5
[DEBUG] 2021-10-03 15:58:10.757 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6ac0b715
[DEBUG] 2021-10-03 15:58:10.758 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2264e43c
[DEBUG] 2021-10-03 15:58:10.759 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58b67519
[DEBUG] 2021-10-03 15:58:10.759 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58b67519
[DEBUG] 2021-10-03 15:58:10.759 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@58b67519
[DEBUG] 2021-10-03 15:58:10.761 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7aead3af
[DEBUG] 2021-10-03 15:58:10.761 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7aead3af
[DEBUG] 2021-10-03 15:58:10.761 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7aead3af
[DEBUG] 2021-10-03 15:58:10.762 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@ce9b9a9
[DEBUG] 2021-10-03 15:58:10.763 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@ce9b9a9
[DEBUG] 2021-10-03 15:58:10.763 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@ce9b9a9
[DEBUG] 2021-10-03 15:58:10.765 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@563a89b5
[DEBUG] 2021-10-03 15:58:10.765 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@563a89b5
[DEBUG] 2021-10-03 15:58:10.765 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@563a89b5
[DEBUG] 2021-10-03 15:58:10.767 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@66ad7bf0
[DEBUG] 2021-10-03 15:58:10.767 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@66ad7bf0
[DEBUG] 2021-10-03 15:58:10.768 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@66ad7bf0
[DEBUG] 2021-10-03 15:58:10.769 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@35178483
[DEBUG] 2021-10-03 15:58:10.769 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@35178483
[DEBUG] 2021-10-03 15:58:10.770 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@35178483
[DEBUG] 2021-10-03 15:58:10.772 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4d178d55
[DEBUG] 2021-10-03 15:58:10.772 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4d178d55
[DEBUG] 2021-10-03 15:58:10.772 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4d178d55
[DEBUG] 2021-10-03 15:58:10.774 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@68c7ef83
[DEBUG] 2021-10-03 15:58:10.775 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@68c7ef83
[DEBUG] 2021-10-03 15:58:10.777 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6c1832aa
[DEBUG] 2021-10-03 15:58:10.778 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6c1832aa
[DEBUG] 2021-10-03 15:58:10.779 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6be7bf6d
[DEBUG] 2021-10-03 15:58:10.779 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6be7bf6d
[DEBUG] 2021-10-03 15:58:10.780 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@745c2004
[DEBUG] 2021-10-03 15:58:10.781 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7c84195
[DEBUG] 2021-10-03 15:58:10.782 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@70f31322
[DEBUG] 2021-10-03 15:58:10.782 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@70f31322
[DEBUG] 2021-10-03 15:58:10.784 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@540b0448
[DEBUG] 2021-10-03 15:58:10.784 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@540b0448
[DEBUG] 2021-10-03 15:58:10.794 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6bf13698
[DEBUG] 2021-10-03 15:58:10.794 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6bf13698
[DEBUG] 2021-10-03 15:58:10.796 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@32f0c7f8
[DEBUG] 2021-10-03 15:58:10.797 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@32f0c7f8
[DEBUG] 2021-10-03 15:58:10.799 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7275c74b
[DEBUG] 2021-10-03 15:58:10.799 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7275c74b
[DEBUG] 2021-10-03 15:58:10.801 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@dab48d3
[DEBUG] 2021-10-03 15:58:10.801 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@dab48d3
[DEBUG] 2021-10-03 15:58:10.803 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@c3177d5
[DEBUG] 2021-10-03 15:58:10.804 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@c3177d5
[DEBUG] 2021-10-03 15:58:10.806 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@1639f93a
[DEBUG] 2021-10-03 15:58:10.806 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@1639f93a
[DEBUG] 2021-10-03 15:58:10.808 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4f67e3df
[DEBUG] 2021-10-03 15:58:10.809 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4f67e3df
[DEBUG] 2021-10-03 15:58:10.811 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@36361ddb
[DEBUG] 2021-10-03 15:58:10.811 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@36361ddb
[DEBUG] 2021-10-03 15:58:10.813 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7e736350
[DEBUG] 2021-10-03 15:58:10.813 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7e736350
[DEBUG] 2021-10-03 15:58:10.815 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1816e24a
[DEBUG] 2021-10-03 15:58:10.815 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1816e24a
[DEBUG] 2021-10-03 15:58:10.815 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1816e24a
[DEBUG] 2021-10-03 15:58:10.817 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@162b3d47
[DEBUG] 2021-10-03 15:58:10.819 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@2e23c180
[DEBUG] 2021-10-03 15:58:10.819 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@2e23c180
[DEBUG] 2021-10-03 15:58:10.819 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@2e23c180
[DEBUG] 2021-10-03 15:58:10.820 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@396e6d9
[DEBUG] 2021-10-03 15:58:10.822 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1a891add
[DEBUG] 2021-10-03 15:58:10.822 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1a891add
[DEBUG] 2021-10-03 15:58:10.823 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@5c20aab9
